moca_aid,nobj,nbf,nhm,ncm
CHYA,1798,0,1150,170
HYA,1556,127,254,115
ABDMG,1542,78,88,736
ARG,925,42,38,351
BPMG,904,57,100,211
COL,888,27,58,523
THA,673,58,159,273
CRIUS207,663,0,58,301
CBER,454,33,55,32
CRIUS31,388,0,210,178
CARN,376,17,22,124
HSC759,372,0,0,372
CRIUS203,371,0,93,176
MEL4,345,0,207,44
TWA,329,48,31,61
CAR,289,10,22,196
GRX,264,0,191,25
CCBER,238,0,146,34
CVCA,227,0,50,107
CRIUS209,193,0,63,80
UMA,175,2,11,46
OCEMG,129,16,5,27
CRIUS223,125,0,47,42
CRIUS224,124,0,59,27
UMAMG,114,0,63,6
CRIUS155,110,0,29,72
HSC453,110,0,0,110
OCTN,106,0,12,28
VCA,95,14,27,4
CRIUS64,83,0,83,0
CRIUS197,83,0,20,30
CASMG,78,0,60,18
CRIUS136,71,0,71,0
CRIUS211,70,0,16,28
CRIUS205,69,0,13,30
HSC1580,66,0,0,66
CRIUS198,63,0,14,40
HLY,63,2,18,11
SIR,57,0,0,46
CWNU1066,56,0,0,56
CRIUS210,55,0,23,16
CRIUS192,50,0,12,19
CRIUS222,48,0,14,12
CRIUS231,46,0,46,0
HR1614MG,45,0,45,0
ZETAH,42,0,42,0
HSC1347,42,0,0,42
CRIUS213,40,0,11,18
CRIUS135,39,0,13,15
CRIUS138,39,0,39,0
CRIUS13,36,0,35,1
CRIUS186,34,0,34,0
CRIUS149,34,0,16,5
CRIUS53,32,0,32,0
CRIUS73,32,0,32,0
CRIUS162,31,0,14,8
CRIUS157,30,0,18,2
RATZSCO25,30,0,30,0
CRIUS106,30,0,30,0
ETAC,29,2,11,0
CRIUS44,29,0,29,0
SIGPUP,29,0,29,0
HSC1566,29,0,0,29
CRIUS23,28,0,28,0
CRIUS91,27,0,27,0
CRIUS22,27,0,27,0
CRIUS81,26,0,26,0
CRIUS61,26,0,26,0
CRIUS4,26,0,26,0
CRIUS57,25,0,25,0
CRIUS104,24,0,24,0
CRIUS103,24,0,24,0
EPSIND,23,0,23,0
CRIUS65,23,0,23,0
CRIUS137,22,0,10,2
CRIUS140,22,0,22,0
CRIUS15,22,0,22,0
CRIUS92,22,0,22,0
CRIUS50,21,0,21,0
HSC1537,21,0,0,21
CRIUS16,20,0,20,0
CRIUS43,20,0,20,0
CRIUS37,20,0,20,0
CRIUS129,19,0,19,0
CRIUS161,19,0,19,0
CRIUS55,18,0,18,0
HSC1470,18,0,0,18
CRIUS96,18,0,18,0
CRIUS115,18,0,18,0
SUN1,17,0,10,3
CRIUS108,17,0,17,0
CRIUS177,17,0,17,0
CRIUS49,17,0,17,0
HSC2676,17,0,0,17
CRIUS63,16,0,16,0
CRIUS118,16,0,16,0
SIXCYG,16,0,16,0
CRIUS56,16,0,16,0
CRIUS5,15,0,15,0
CHER2,15,0,15,0
CRIUS33,14,0,14,0
CRIUS30,14,0,14,0
CRIUS38,14,0,14,0
CRIUS36,14,0,14,0
CRIUS6,14,0,14,0
HSC1684,14,0,0,14
CRIUS76,14,0,14,0
CRIUS86,14,0,14,0
HSC1077,14,0,0,14
CRIUS54,13,0,13,0
CRIUS32,13,0,13,0
CRIUS21,13,0,13,0
CRIUS19,13,0,13,0
VCAN,13,0,0,13
CRIUS105,13,0,13,0
CRIUS117,12,0,12,0
CRIUS17,12,0,12,0
CRIUS212,12,0,12,0
CRIUS111,12,0,12,0
HSC1152,11,0,0,11
CRIUS52,11,0,11,0
CRIUS2,11,0,11,0
CRIUS9,11,0,11,0
CRIUS107,11,0,11,0
CRIUS27,10,0,10,0
CRIUS1,10,0,10,0
CRIUS74,10,0,10,0
CRIUS8,10,0,10,0
CRIUS72,10,0,10,0
CRIUS71,10,0,10,0
CRIUS62,10,0,10,0
CRIUS60,10,0,10,0
CRIUS93,10,0,10,0
CHER3,9,0,9,0
CRIUS11,9,0,9,0
ETACEPH,6,0,6,0
FLD,4,0,0,2
HYAMG,4,0,0,4
PLEMG,1,0,0,1